,genus,Mean_Score
149,g__2-01-FULL-49-10,1.550600693
150,g__2-01-FULL-49-14,1.322122487
151,g__2-01-FULL-49-17,1.307472529
152,g__2-01-FULL-49-22,1.704391485
153,g__2-01-FULL-50-11,1.570715386
154,g__2-01-FULL-50-23,1.921349065
155,g__2-01-FULL-50-24,1.76613531
156,g__2-01-FULL-50-25,1.636626305
157,g__2-01-FULL-50-28,1.023717997
158,g__2-01-FULL-51-10,1.846264087
159,g__2-01-FULL-51-21,1.479329915
160,g__2-01-FULL-51-34,1.738440639
161,g__2-01-FULL-52-15,1.487447625
162,g__2-01-FULL-53-15,1.863958684
163,g__2-01-FULL-56-20,1.488013446
164,g__2-01-FULL-58-14,1.615769769
165,g__2-01-FULL-59-12,2.019236542
166,g__2-01-FULL-60-11,2.173045921
167,g__2-01-FULL-63-20,1.783234066
168,g__2-01-FULL-64-13,1.668349439
169,g__2-01-FULL-66-17,2.036175161
170,g__2-02-FULL-34-10,1.773953785
171,g__2-02-FULL-34-12,2.095163206
172,g__2-02-FULL-35-15,2.239018765
173,g__2-02-FULL-36-13,1.435118893
174,g__2-02-FULL-37-13,1.426920533
175,g__2-02-FULL-38-14,1.305062399
176,g__2-02-FULL-38-14-A,1.929999822
177,g__2-02-FULL-38-15,1.873159572
178,g__2-02-FULL-38-15-A,2.178656557
179,g__2-02-FULL-39-11,1.177939972
180,g__2-02-FULL-39-13,1.168974595
181,g__2-02-FULL-39-14,1.608932843
182,g__2-02-FULL-39-32,2.018014447
183,g__2-02-FULL-40-10,1.21097133
184,g__2-02-FULL-40-11,2.361171249
185,g__2-02-FULL-40-12,1.17775661
186,g__2-02-FULL-40-13,1.508589298
187,g__2-02-FULL-40-20,1.700726996
188,g__2-02-FULL-42-16,1.434367357
189,g__2-02-FULL-42-43,2.341928804
190,g__2-02-FULL-43-11,1.771573533
191,g__2-02-FULL-43-11-A,1.629064854
192,g__2-02-FULL-43-13,1.764378103
193,g__2-02-FULL-43-16,1.63479865
194,g__2-02-FULL-44-16,2.544826211
195,g__2-02-FULL-44-35,1.591384658
196,g__2-02-FULL-45-10,1.858599456
197,g__2-02-FULL-45-11,1.595830837
198,g__2-02-FULL-45-18,1.570683916
199,g__2-02-FULL-45-21,1.942718691
200,g__2-02-FULL-45-22,2.155568579
201,g__2-02-FULL-45-22_A,2.327487454
202,g__2-02-FULL-46-11,1.588216211
203,g__2-02-FULL-46-13,1.758057677
204,g__2-02-FULL-46-19,1.736524522
205,g__2-02-FULL-47-12,1.82423542
206,g__2-02-FULL-47-50,2.801051034
207,g__2-02-FULL-48-11,1.878002257
208,g__2-02-FULL-48-11-A,1.588920363
209,g__2-02-FULL-48-12,1.87800301
210,g__2-02-FULL-48-14,1.750219677
211,g__2-02-FULL-48-16,1.74166129
212,g__2-02-FULL-49-11,1.501541081
213,g__2-02-FULL-49-12,2.007692298
214,g__2-02-FULL-49-16,1.225404864
215,g__2-02-FULL-50-16,2.826368948
216,g__2-02-FULL-50-16-A,2.200586871
217,g__2-02-FULL-50-9b,2.028323648
218,g__2-02-FULL-51-10,1.63281517
