Feature ID	Taxon	Confidence
76a2e443105acc53d3461f176f38148c	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio	0.99596802
afc0eeec83a181be740331928d883362	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Casp-actino8;s__Casp-actino8 sp009923785	0.96002524
92c0c75c6858840cbc21744f047e2a02	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Aureliella;s__Aureliella helgolandensis	0.736504804
98f53519513214e968c569829a1471bb	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium	0.725045693
3bb0bf5132b0f988573de9bd6059b22c	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.985786109
7dd273cfe05a5c5e224f299f760201cf	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	0.989192212
6267512d7ea98a0da430e5a6f96698e6	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila	0.999937078
e416d0916760d2fc17b616e2ac3ad855	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae	0.999623978
d4cc0a095dd016823ef8c5ad567c91fd	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__CAMDTE01;s__CAMDTE01 sp945907425	0.96096395
8735f92a7f18db944bc862777fbd3222	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.999124752
801efb14d6457f799fd2becee6d07b72	d__Bacteria;p__Pseudomonadota	0.878411821
9e26dc7c6642e4bf724f8d376d56a973	d__Bacteria;p__Pseudomonadota	0.725670961
63413adbe8227f80412e824dffac1f5a	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae	0.709301949
55ce73379b753a6d229a4febc0b1362d	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__Polaribacter sp001873065	0.956903351
7beab4f249af89a8aab102a03113ba62	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum	0.998750255
9255e939f667b42a03cb99246b86cb32	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.779239842
ca2b23c1b70c9034ea6412255f88eb7f	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Bacteriovorax;s__Bacteriovorax stolpii	0.878024141
9100c673ddb0128f63023d0c6d423792	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA2463;s__UBA2463 sp018402635	0.984357677
9c54c522a386d5ed75686001dae803d9	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.881666292
cf3381318906e1e08f58bca905636dc0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium	0.974835245
e747694a818ae82e58f977992c196fd0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Thalassobaculales;f__Thalassobaculaceae;g__Thalassobaculum_A	0.959603932
6070669b932f1826dc8b8e61495fd27c	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__UBA1268	0.991413506
70f086828189cd2b21299d41e077a74a	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Casp-alpha2;g__UBA4479;s__UBA4479 sp002389385	0.964186729
282d970c7e74112691085e63921dbcfd	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium ginsengisoli_E	0.93414076
4964f339e90a20437a19d7ec3bcd8a1a	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Lunatimonas	0.99748358
9176a4011d0b5a7a3fe654f25319091e	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Paracaedibacterales;f__CAIOTO01;g__CAIOTO01;s__CAIOTO01 sp903861255	0.999999889
8215c539c392e8fc631e1d5cddeac7da	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;s__Flavipsychrobacter sp903824665	0.859098668
2c070f4880cc78c48ec292dd9c89b597	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__CAISGS01;s__CAISGS01 sp937952995	0.999868838
788f25619c77abb69cf199dd19233eb4	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Synoicihabitans;s__Synoicihabitans sp023386835	0.989158476
1bccea8882fb44e316fa3626a2062514	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__UBA1268	0.997677646
8b08139d6eb5d7a849dff1bd579727d7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__RS62;s__RS62 sp030441535	0.900633338
84ea3564fd34c5377c4305b340f0c16f	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__IMCC9063;s__IMCC9063 sp000750175	0.866258907
e177a451db2600efdeb8bde47ef88671	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	0.999614421
f1e34308d952529287ada31976faec95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__ELB16-189 sp947470895	0.890325051
520c7e89d0c7c72e7d85eed29aaedb70	d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__UBA2386;s__UBA2386 sp947455805	0.962025814
9cfa52be027c8fa57d197b21dd7a958c	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802;s__MAG-120802 sp003569145	0.983808471
3fa2974b1f70109275811beb1ae321c9	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__GCA-013693735;s__GCA-013693735 sp016793505	0.703607645
748289d833e671b4848c77b9443c2034	d__Bacteria	0.99999317
97526cc3bdb30750d172ec27041d3211	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__Reyranella sp937919085	0.907578205
5aad5881139a653bc5964f1d88d7aaee	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Dyadobacter	0.998644169
83c246c4ed456dea2a15d054f16009b3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__Zoogloea sp018241725	0.807187499
4800a9c596272fb238a316d893b0871e	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__UBA9320;s__UBA9320 sp003516975	0.996105587
755afc7ffddcfd5e093ea2222f4affd6	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Cephaloticoccus;s__Cephaloticoccus sp021734075	0.984516673
e6c8443214bca5d5809bbb0c5644af52	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	0.997551861
4d65f65496c3d0238ebf74738245e526	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__TMED14;s__TMED14 sp002381225	0.812027875
285bfcf58e6f5f2669ba8a2efb4ed898	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter	0.999372914
e4278f7eb9e1d1595866d1c4440c78c9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	0.999840301
448ee48054e6edfd36e703a6baecc8a8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Chitinibacteraceae;g__Deefgea	0.999912108
a4e7c4029a5970db9ae5de9cb1b8ced9	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__UBA1268	0.964323113
e50cc2a3da1dd7fd34ca4daba09a32ad	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA1280;f__UBA6156;g__UBA6156;s__UBA6156 sp003241595	0.997567607
3fc227a79c6a108319409a05f87103f3	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__UBA10348;g__UBA10348;s__UBA10348 sp937877085	0.981118495
177d2176a3368f43cc132f9e34a9405c	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__UBA1268	0.995753754
5ed8f8f3a98e669d81b30c56825e0870	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Rariglobus;s__Rariglobus hedericola	0.99880146
64edc344889f4279a1292afbe81dc043	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae	0.999993165
0ae5531a9802e71139c959faebdde10c	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__Reyranella aquatilis	0.914375516
11b50e80047289f589868d85531954f4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA2040;s__UBA2040 sp024643585	0.964256022
101ab1c0cf819a3e48e09b3356bb6f3d	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Rariglobus;s__Rariglobus sp024998815	0.898964559
a51911fb468aee7787ca8edf2ad66641	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__QYPT01;s__QYPT01 sp919902125	0.778902941
2da31e61296f678bb466e1ae0593e33d	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__UBA1268;g__QWPN01	0.7263162
eb2625c1474f98f554b002fcd5d1088e	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Flectobacillus	0.704778544
5914e4ffa20a5fa0b95bf68e5c9777b6	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__UBA965	0.984676591
29731c1ae123c2faa2b4184d96385388	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__S36-B12;f__S36-B12	0.943791465
b6a0ad25677cccdc5a6ada23f7e276b6	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Thalassobaculales;f__Thalassobaculaceae;g__Thalassobaculum_A;s__Thalassobaculum_A sp018401495	0.732132464
9af3467db68cf6063627304cecd46a65	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E	0.997987562
a6db2d87f1e7a32216e5041a1920f12e	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Ga0077550;s__Ga0077550 sp019694555	0.997073194
2b4e6ccd11a78681bceaffed2053907f	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Salibacteraceae;g__SHAN690	0.959209969
fecd0294f7ecdb7bc5c54d01e9f541f0	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__F1-60-MAGs149;g__F1-60-MAGs149;s__F1-60-MAGs149 sp903960645	0.981273398
d94c20c00db235bb6fccc68f06f100c7	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae	0.999919989
6b94959874b693c3304e68c57cefd287	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__Planktophila sp947383695	0.966441245
20ada5c0fa2722151f9039d1896592e8	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter	0.999373966
137dc661fa672b506fd805198510edf9	d__Bacteria	0.99999997
27af011f1ebcc0867bb168193e6a9d27	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.99420813
aed191bac0b1c3264208a084af848bed	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.995706551
9a64f65cc4a51bc87a27dbff7ecefdd6	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae	0.832922695
