"","Domain","Phylum","Class","Order","Family","Genus","Species","Strain"
"cfb98993000a7864ecd250723d57b8db","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12 marine group","","","cfb98993000a7864ecd250723d57b8db"
"63413adbe8227f80412e824dffac1f5a","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","","","","63413adbe8227f80412e824dffac1f5a"
"d5b23bb0b75b67df5ecd5ad44760b312","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured Sphingobacteriales bacterium","d5b23bb0b75b67df5ecd5ad44760b312"
"211b7bfb480d7e0ba8224a99279d1055","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Candidatus Aquirestis","","211b7bfb480d7e0ba8224a99279d1055"
"dc3835d12dc9edc210bddff9c66bf356","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Candidatus Aquirestis","","dc3835d12dc9edc210bddff9c66bf356"
"2b4e6ccd11a78681bceaffed2053907f","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","uncultured Bacteroidetes/Chlorobi group bacterium","2b4e6ccd11a78681bceaffed2053907f"
"f1e34308d952529287ada31976faec95","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","OLB12","","f1e34308d952529287ada31976faec95"
"5aad5881139a653bc5964f1d88d7aaee","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter","","5aad5881139a653bc5964f1d88d7aaee"
"eb2625c1474f98f554b002fcd5d1088e","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Flectobacillus","","eb2625c1474f98f554b002fcd5d1088e"
"34327ad682b105ca4607c44af24c5dd2","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","","","34327ad682b105ca4607c44af24c5dd2"
"3fc227a79c6a108319409a05f87103f3","Bacteria","Bacteroidetes","Rhodothermia","Rhodothermales","Rhodothermaceae","uncultured","uncultured Cytophaga sp.","3fc227a79c6a108319409a05f87103f3"
"36dae39c87c9e05e2a808f08e5b671ce","Bacteria","Planctomycetes","vadinHA49","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium","36dae39c87c9e05e2a808f08e5b671ce"
"6a679587c40215f64acb6b0231b57581","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae","uncultured","","6a679587c40215f64acb6b0231b57581"
"92c0c75c6858840cbc21744f047e2a02","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula","uncultured organism","92c0c75c6858840cbc21744f047e2a02"
"177d2176a3368f43cc132f9e34a9405c","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","uncultured","","177d2176a3368f43cc132f9e34a9405c"
"6070669b932f1826dc8b8e61495fd27c","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","uncultured","","6070669b932f1826dc8b8e61495fd27c"
"2da31e61296f678bb466e1ae0593e33d","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","uncultured","","2da31e61296f678bb466e1ae0593e33d"
"1bccea8882fb44e316fa3626a2062514","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","uncultured","","1bccea8882fb44e316fa3626a2062514"
"a4e7c4029a5970db9ae5de9cb1b8ced9","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","uncultured","","a4e7c4029a5970db9ae5de9cb1b8ced9"
"c4e16e2ca85ff9eb360fd895f75227ca","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae","uncultured","","c4e16e2ca85ff9eb360fd895f75227ca"
"520c7e89d0c7c72e7d85eed29aaedb70","Bacteria","Planctomycetes","OM190","","","","","520c7e89d0c7c72e7d85eed29aaedb70"
"755afc7ffddcfd5e093ea2222f4affd6","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Cephaloticoccus","uncultured bacterium","755afc7ffddcfd5e093ea2222f4affd6"
"101ab1c0cf819a3e48e09b3356bb6f3d","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Ambiguous_taxa","Ambiguous_taxa","101ab1c0cf819a3e48e09b3356bb6f3d"
"788f25619c77abb69cf199dd19233eb4","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Diplosphaera","uncultured bacterium","788f25619c77abb69cf199dd19233eb4"
"5ed8f8f3a98e669d81b30c56825e0870","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Diplosphaera","uncultured Desulfococcus sp.","5ed8f8f3a98e669d81b30c56825e0870"
"20ada5c0fa2722151f9039d1896592e8","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter","","20ada5c0fa2722151f9039d1896592e8"
"285bfcf58e6f5f2669ba8a2efb4ed898","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter","","285bfcf58e6f5f2669ba8a2efb4ed898"
"ae88f77525a7096df7c0d9c6ede9f846","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter","","ae88f77525a7096df7c0d9c6ede9f846"
"c530fa2c576c67ce632ce34474b8ea71","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","","","c530fa2c576c67ce632ce34474b8ea71"
"c36646fabf5978777e0e7b08044e9568","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","","","c36646fabf5978777e0e7b08044e9568"
"a6db2d87f1e7a32216e5041a1920f12e","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Nannocystis","Nannocystis sp.","a6db2d87f1e7a32216e5041a1920f12e"
"e739dae8872120bd9c58ff3f4afc28b3","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Bdellovibrionales bacterium RIFCSPHIGHO2_01_FULL_40_29","e739dae8872120bd9c58ff3f4afc28b3"
"ca2b23c1b70c9034ea6412255f88eb7f","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax","Ambiguous_taxa","ca2b23c1b70c9034ea6412255f88eb7f"
"9100c673ddb0128f63023d0c6d423792","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","MWH-UniP1 aquatic group","","9100c673ddb0128f63023d0c6d423792"
"be45460bb19ae26f588454f3dd7388ec","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","MWH-UniP1 aquatic group","","be45460bb19ae26f588454f3dd7388ec"
"137dc661fa672b506fd805198510edf9","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","","","137dc661fa672b506fd805198510edf9"
"9c54c522a386d5ed75686001dae803d9","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","","","9c54c522a386d5ed75686001dae803d9"
"8735f92a7f18db944bc862777fbd3222","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","","","8735f92a7f18db944bc862777fbd3222"
"27af011f1ebcc0867bb168193e6a9d27","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","","","27af011f1ebcc0867bb168193e6a9d27"
"3bb0bf5132b0f988573de9bd6059b22c","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","","","3bb0bf5132b0f988573de9bd6059b22c"
"aed191bac0b1c3264208a084af848bed","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","","","aed191bac0b1c3264208a084af848bed"
"d295b9a63b6148b9f4663819da1c914b","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","","","d295b9a63b6148b9f4663819da1c914b"
"c1d9eada909d2d5dbe078f25f1038508","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","","","c1d9eada909d2d5dbe078f25f1038508"
"8b08139d6eb5d7a849dff1bd579727d7","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","RS62 marine group","uncultured bacterium","8b08139d6eb5d7a849dff1bd579727d7"
"a7b57a3495513cb6d0fae02b7d400ac7","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","","","a7b57a3495513cb6d0fae02b7d400ac7"
"c56ae4705fd5cf31ed0b25fa86e22ed6","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","","","c56ae4705fd5cf31ed0b25fa86e22ed6"
"8b2494a11c2f75ef0302082e2b542682","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","","","8b2494a11c2f75ef0302082e2b542682"
"448ee48054e6edfd36e703a6baecc8a8","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chitinibacteraceae","Deefgea","Ambiguous_taxa","448ee48054e6edfd36e703a6baecc8a8"
"acc9603a819dc23a606ac6c1b9105b6d","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","","","acc9603a819dc23a606ac6c1b9105b6d"
"7ebbb1e6f79a2910951c191a4bf1df66","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Methyloversatilis","","7ebbb1e6f79a2910951c191a4bf1df66"
"07eb166d091e1aebe641105881f4f2d3","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Zoogloea","","07eb166d091e1aebe641105881f4f2d3"
"83c246c4ed456dea2a15d054f16009b3","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Zoogloea","","83c246c4ed456dea2a15d054f16009b3"
"efbe1f58b1e2984ddc53a64f047d94ff","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Janthinobacterium","","efbe1f58b1e2984ddc53a64f047d94ff"
"e416d0916760d2fc17b616e2ac3ad855","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera","","e416d0916760d2fc17b616e2ac3ad855"
"1e104b993416995498346089f57fd3bf","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylophilus","","1e104b993416995498346089f57fd3bf"
"9a64f65cc4a51bc87a27dbff7ecefdd6","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","OM43 clade","","9a64f65cc4a51bc87a27dbff7ecefdd6"
"29b2870e522fa2d0b60ae25278a57c5b","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","","","","29b2870e522fa2d0b60ae25278a57c5b"
"65a75a16ddf0882daec9e72eea3aa180","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Nevskia","","65a75a16ddf0882daec9e72eea3aa180"
"21bdb6c8cb7ed339792d39838ea86d08","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella","","21bdb6c8cb7ed339792d39838ea86d08"
"5914e4ffa20a5fa0b95bf68e5c9777b6","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured Roseiflexus sp.","5914e4ffa20a5fa0b95bf68e5c9777b6"
"7c338eeece15edbfcf8ed52c568f6fc2","Bacteria","Proteobacteria","Gammaproteobacteria","OM182 clade","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa","7c338eeece15edbfcf8ed52c568f6fc2"
"d1e7069c930bb4790713681f06f84cf0","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Rheinheimera","","d1e7069c930bb4790713681f06f84cf0"
"fd3acdbb6eaf9e3669c9f303a6fa0b28","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Rheinheimera","","fd3acdbb6eaf9e3669c9f303a6fa0b28"
"3e5cc4006667756b128e551a166d5861","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","","","3e5cc4006667756b128e551a166d5861"
"76a2e443105acc53d3461f176f38148c","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio","","76a2e443105acc53d3461f176f38148c"
"6e6f306a337ba255a7f4a7f8469ff691","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio","","6e6f306a337ba255a7f4a7f8469ff691"
"7dd273cfe05a5c5e224f299f760201cf","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","","7dd273cfe05a5c5e224f299f760201cf"
"9af3467db68cf6063627304cecd46a65","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","","9af3467db68cf6063627304cecd46a65"
"b396df71ff4bad780a6862032851bce5","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella","","b396df71ff4bad780a6862032851bce5"
"748289d833e671b4848c77b9443c2034","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","uncultured","","748289d833e671b4848c77b9443c2034"
"9176a4011d0b5a7a3fe654f25319091e","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","uncultured","uncultured bacterium","9176a4011d0b5a7a3fe654f25319091e"
"97526cc3bdb30750d172ec27041d3211","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella","","97526cc3bdb30750d172ec27041d3211"
"0ae5531a9802e71139c959faebdde10c","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella","","0ae5531a9802e71139c959faebdde10c"
"70f086828189cd2b21299d41e077a74a","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","uncultured","","70f086828189cd2b21299d41e077a74a"
"9e26dc7c6642e4bf724f8d376d56a973","Bacteria","Proteobacteria","Alphaproteobacteria","","","","","9e26dc7c6642e4bf724f8d376d56a973"
