"","OTU","Wlab","Wlight","Z","Gi","Mlight","Mheavymax","Mlab","A","A_CI_low","A_CI_high","Incorporator","CM_control","CM_treatment","delta_BD","Culture","Substrate","copy_number","id","Domain","Phylum","Class","Order","Family","Genus","Species"
"16","137dc661fa672b506fd805198510edf9",1.76612646768037,1.76227065131822,0.00385581636214694,1.39168025433167,308.381273406148,317.66176721793,309.056006063638,0.0718964765312738,0.0718964765312738,0.0718964765312738,TRUE,1.77725399005817,1.75373512822649,-0.02351886183168,"Chemostat","Multi",3,"chemo_carb","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","",""
"17","1583d8af9fd9cb078f88c0e1a8b8a888",1.76974239629105,1.76343010673033,0.00631228956071306,1.40556495018719,308.388160215293,317.661729337703,309.492051635171,0.117713536150649,0.117713536150649,0.117713536150649,TRUE,1.77873569770985,1.76569738213643,-0.0130383155734233,"Chemostat","Multi",2,"chemo_carb","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Ancylobacter",""
"18","177d2176a3368f43cc132f9e34a9405c",1.78883225094336,1.77350210564878,0.0153301452945871,1.52617902484583,308.447984796324,317.661400278384,311.114207975698,0.286169144622348,0.286169144622348,0.286169144622348,TRUE,1.78175456440121,1.78820266539751,0.00644810099630577,"Batch","Multi",1,"batch_carb","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","uncultured",""
"19","177d2176a3368f43cc132f9e34a9405c",1.78638952069822,1.77534612704201,0.0110433936562084,1.54826152662096,308.458937717204,317.661340032903,310.377681011315,0.206187636700487,0.206187636700487,0.206187636700487,TRUE,1.78754523331459,1.78103572550721,-0.00650950780737958,"Batch","Single",1,"batch_glu","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","uncultured",""
"20","1bccea8882fb44e316fa3626a2062514",1.78572643640541,1.77295907169391,0.0127673647114976,1.51967609146539,308.444759341367,317.661418019687,310.665919885191,0.238316113413708,0.238316113413708,0.238316113413708,TRUE,1.77915499543442,1.78600795729232,0.00685296185790341,"Batch","Multi",1,"batch_carb","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","uncultured",""
"21","1bccea8882fb44e316fa3626a2062514",1.78088582746618,1.77517696958091,0.0057088578852682,1.54623583432219,308.457932973824,317.661345559397,309.449914355459,0.106586350231216,0.106586350231216,0.106586350231216,TRUE,1.78790897923086,1.77683007301485,-0.0110789062160073,"Batch","Single",1,"batch_glu","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","uncultured",""
"22","1c2b8892a0d7f828d72808cd01cfd199",1.77290817355272,1.75868769348712,0.0142204800656089,1.34877366281603,308.359991736757,317.661884275693,310.85334353069,0.265069160460827,0.265069160460827,0.265069160460827,TRUE,1.77217316136552,1.76397102686537,-0.00820213450015905,"Chemostat","Multi",2,"chemo_carb","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",""
"23","1e104b993416995498346089f57fd3bf",1.76882616086159,1.76332832303351,0.00549783782808233,1.40434607134231,308.387555651386,317.661732663048,309.349069594662,0.102524383763967,0.102524383763967,0.102524383763967,TRUE,1.77785535842395,1.76482535506047,-0.0130300033634778,"Chemostat","Multi",2,"chemo_carb","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylophilus",""
"24","20ada5c0fa2722151f9039d1896592e8",1.79330969805668,1.77006483830317,0.0232448597535029,1.48501710419818,308.427568483682,317.661512576336,312.47790348745,0.433761164720641,0.433761164720641,0.433761164720641,TRUE,1.77951586710477,1.79165799916855,0.0121421320637787,"Batch","Single",3,"batch_glu","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter",""
"25","211b7bfb480d7e0ba8224a99279d1055",1.79786380716748,1.77520336091665,0.0226604462508322,1.5465518755137,308.458089730255,317.661344697173,312.395552962274,0.423079536014006,0.423079536014006,0.423079536014006,TRUE,1.78642221645691,1.79067094067335,0.00424872421643951,"Batch","Single",2,"batch_glu","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Candidatus Aquirestis",""
"26","211b7bfb480d7e0ba8224a99279d1055",1.79332716161793,1.77349863492703,0.0198285266909035,1.52613746230244,308.447964181302,317.661400391775,311.896553636109,0.370140685065362,0.370140685065362,0.370140685065362,TRUE,1.78169514807787,1.79714706163104,0.0154519135531672,"Batch","Multi",2,"batch_carb","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Candidatus Aquirestis",""
